ETER_ID,English_Institution_Name,Institution_Name,Reference_year,Country_Code,Name_of_the_city,Total_Current_revenues_(EURO),Basic_government_allocation_(EURO),Student_fees_funding_(EURO),Total_third_party_funding_(EURO),Personnel_expenditure_(EURO),R&D_Expenditure_(EURO),Total_students_enrolled_ISCED_5_7,Total_graduates_ISCED_5_7,Total_graduates_at_ISCED_8,Name,Overall SCORE,AR SCORE,ER SCORE,FSR SCORE,CPF SCORE,IFR SCORE,ISR SCORE,EO SCORE,SUS SCORE,Rank,Size,Focus,Research,Status,QS_match_name,graduation_rate
FR0364,Côte d'Azur University,Université Côte d'Azur,2020,FR,Nice,258401602.0,197699156.0,6408822.0,20806656.0,205291812.0,97257.0,31776.0,9661.0,213.0,Université Côte d’Azur,25.6,21.6,8.2,9.1,27.7,36.5,51.0,13.6,69.2,688,XL,FC,VH,Public,Université Côte d’Azur,0.30403449144008055
FR0369,University Paris-Saclay,Université Paris-saclay,2020,FR,Gif-sur-Yvette,361899522.0,248231336.0,7244719.0,68109024.0,284094192.0,161800.0,35697.0,12682.0,816.0,Université Paris-Saclay,75.9,75.3,99.4,99.9,42.4,45.9,72.7,82.9,92.7,70,XL,CO,VH,Public,Université Paris-Saclay,0.3552679496876488
IE0004,Trinity College Dublin,Trinity College Dublin,2020,IE,Dublin,354870000.0,50499000.0,163743000.0,140628000.0,279662000.0,0.0,16450.0,5800.0,230.0,"Trinity College Dublin, The University of Dublin",73.9,82.5,68.1,28.7,66.0,100.0,94.9,95.3,73.8,75,L,FC,VH,Public,"Trinity College Dublin, The University of Dublin",0.3525835866261398
IE0028,Technological University Dublin,Technological University Dublin,2020,IE,Dublin,239142000.0,119705000.0,91515000.0,27922000.0,178029000.0,0.0,25050.0,8090.0,90.0,Technological University of Dublin,,17.7,22.4,18.0,6.1,49.8,63.7,22.6,58.7,781-790,L,CO,HI,Public,Technological University of Dublin,0.32295409181636725
LV0003,Riga Stradinš University,Rigas Stradina universitate,2020,LV,Riga,79567581.0,0.0,31656714.0,3057965.0,35567863.0,9496584.0,9316.0,1607.0,20.0,Riga Stradins University,,7.4,16.2,16.3,3.4,30.9,96.1,14.8,29.5,1001-1200,M,SP,HI,Public,Riga Stradins University,0.17249892657793045
NL0001,University of Amsterdam,Universiteit van Amsterdam,2020,NL,Amsterdam,852700000.0,497700000.0,94500000.0,241600000.0,591400000.0,0.0,38940.0,12309.0,541.0,The University of Amsterdam,81.5,92.5,72.6,27.5,87.2,98.8,95.8,90.3,64.0,53,XL,FC,VH,Public,The University of Amsterdam,0.31610169491525425
NL0013,Wageningen University and Research Centre,Wageningen Universiteit,2020,NL,Wageningen,405166000.0,243648000.0,39153000.0,93343000.0,272914000.0,0.0,12896.0,3687.0,283.0,Wageningen University & Research,61.6,55.0,34.4,99.5,54.8,72.0,90.7,32.9,91.2,153,L,CO,VH,Public,Wageningen University & Research,0.28590260545905705
SE0005,Umeå university,Umeå universitet,2020,SE,Umeå,443065389.8977568,291451052.95284605,2364279.7192125744,120198382.42026553,277859663.51289487,237295.8950099192,29604.99999999989,3709.0,125.0,Umeå University,37.4,27.2,20.2,80.7,25.0,77.2,37.5,11.9,77.1,401,L,FC,VH,Public,Umeå University,0.1252828914034796
SK0001,Comenius University in Bratislava,Univerzita Komenského v Bratislave,2020,SK,Bratislava,236349406.0,200707496.0,22696403.0,9806391.0,115618190.0,58377456.0,20946.0,4991.0,319.0,Comenius University Bratislava,25.8,16.8,14.7,61.3,6.9,8.4,39.0,87.0,43.7,684,L,FC,HI,Public,Comenius University Bratislava,0.23827938508545785
SK0002,Pavol Jozef Šafárik University in Košice,Univerzita Pavla Jozefa Šafárika v Košiciach,2020,SK,Košice,84630383.0,67917248.0,13999814.0,1773006.0,41983879.0,17804206.0,6735.0,1447.0,106.0,Pavol Josef Safarik University,,6.4,5.6,69.2,5.5,7.0,78.5,5.5,22.2,1001-1200,M,FC,HI,Public,Pavol Josef Safarik University,0.21484780994803265
SK0017,Technical University of Košice,Technická Univerzita v Košiciach,2020,SK,Košice,98544569.0,88716026.0,1277877.0,4153227.0,50145092.0,20589271.0,8869.0,2418.0,120.0,Technical University of Kosice,,8.2,13.8,21.4,10.3,1.8,89.6,21.4,21.9,1001-1200,M,FO,VH,Public,Technical University of Kosice,0.2726350208591724
SK0019,University of Žilina in Žilina,Žilinská Univerzita v Žiline,2020,SK,Žilina,96075573.0,87343079.0,866008.0,1869042.0,42612847.0,37102141.0,7522.0,2030.0,90.0,University of Zilina,,6.3,7.3,59.5,13.9,5.5,12.3,5.6,36.5,1001-1200,M,FO,VH,Public,University of Zilina,0.26987503323584155
